not_used,iri_local_name,modified,site_name_zh-Hans,site_name_zh-Latn-pinyin,site_name_en,site_geonames_id,site_getty_togn_id,earliest_period_zn-Hans,earliest_period_en,earliest_period_iri,latest_period_zn-Hans,latest_period_en,latest_period_iri,site_date_verbatim_zn-Hans,site_date_verbatim_en,locality_zn-Hans,locality_en,locality_geonames_id,locality_getty_togn_id
http://lod.vanderbilt.edu/historyart/site/Fawangmiao,Fawangmiao,2016-10-19T13:46:00-05:00,法王庙,Fawangmiao,,,,,,,,,,宋至清,,陕西省韩城市,,,
http://lod.vanderbilt.edu/historyart/site/Gesaer,Gesaer,2016-10-19T13:46:00-05:00,格萨尔三十大将军灵塔和达那寺,Gesaer,Gesar Thirty General General Pagoda and Dana Monastery,,,,,,,,,宋、元,,青海省囊谦县,,,
http://lod.vanderbilt.edu/historyart/site/Bucun,Bucun,2016-10-19T13:46:00-05:00,布村玉皇庙,Bucun,,,,,,,,,,五代，金,,长子布村,,,
http://lod.vanderbilt.edu/historyart/site/Xiaozhangcun,Xiaozhangcun,2016-10-19T13:46:00-05:00,小张村碧云寺,Xiaozhangcun,,,,,,,,,,五代,,长子小张存,,,
http://lod.vanderbilt.edu/historyart/site/Chongjiaosi,Chongjiaosi,2016-10-19T13:46:00-05:00,崇教寺正殿,Chongjiaosi,,,,,,,,,,宋金,,长治市马厂镇故驿村,,,
http://lod.vanderbilt.edu/historyart/site/Zhangzi,Zhangzi,2016-10-19T13:46:00-05:00,长子县府君庙,Zhangzi,,,,,,,,,,,,长子县城第一中学院,,,
http://lod.vanderbilt.edu/historyart/site/Qinshui,Qinshui,2016-10-19T13:46:00-05:00,沁水崔府君庙,Qinshui,,,,,,,,,,金元,,沁水县加丰镇郭南村,Jiafengzhen_Guonancun,,
http://lod.vanderbilt.edu/historyart/site/Langbi,Langbi,2016-10-19T13:46:00-05:00,圣天寺,Langbi,,,,,,,,,,宋,,沁水郑庄廊必村,Dong_Langbicun_Zhengzhuangzhen_Qinshui,,
http://lod.vanderbilt.edu/historyart/site/Qinshui,Qinshui,2016-10-19T13:46:00-05:00,沁水龙岩寺,Qinshui,,,,,,,,,,金,,,Qinshuixian_Zhongcunzhen_Shanggecun,,
http://lod.vanderbilt.edu/historyart/site/Quwo,Quwo,2016-10-19T13:46:00-05:00,曲沃大悲院过殿,Quwo,,,,,,,,,,金,,曲沃县曲村镇曲村中,Quwo_Qucunzhen_Qucun_zhong,,
http://lod.vanderbilt.edu/historyart/site/Qixian,Qixian,2016-10-19T13:46:00-05:00,,Qixian_Xiangfansi,,,,,,,,,,宋,,祁县东观镇中学里面,Qixian_Dongguangzhen_Zongxue_limian,,
http://lod.vanderbilt.edu/historyart/site/Guanghuasi,Guanghuasi,2016-10-19T13:46:00-05:00,,Guanghuasi,,,,,,,,,,,,,Taiguxian_beiguangxiang_Baichengcun,,
